issue,found,bytes,parsed
2024-01-03,1,973404,1
2024-01-10,1,952216,1
2024-01-17,1,1425252,1
2024-01-24,1,965532,1
2024-01-31,1,968748,1
2024-02-07,1,1197167,1
2024-02-14,1,1423489,1
2024-02-21,1,948219,1
2024-02-28,1,967694,1
2024-03-06,1,1108724,1
2024-03-13,1,1432698,1
2024-03-20,1,946681,1
2024-03-27,1,956966,1
2024-04-03,1,959334,1
2024-04-10,1,1120970,1
2024-04-17,1,1420858,1
2024-04-24,1,957143,1
2024-05-01,1,961476,1
2024-05-08,1,1106197,1
2024-05-15,1,1394646,1
2024-05-22,1,943857,1
2024-05-29,1,957976,1
2024-06-05,1,961041,1
2024-06-12,1,1108378,1
2024-06-19,1,1395541,1
2024-06-26,1,962173,1
2024-07-03,1,1033000,1
2024-07-10,1,943553,1
2024-07-17,1,1404403,1
2024-07-24,1,958523,1
2024-07-31,1,1120693,1
2024-08-07,1,945144,1
2024-08-14,1,1024472,1
2024-08-21,1,1399682,1
2024-08-28,1,1125432,1
2024-09-04,1,945014,1
2024-09-11,1,1235747,1
2024-09-18,0,0,0
2024-09-19,1,1402121,1
2024-09-25,1,960939,1
2024-10-02,1,1193634,1
2024-10-09,1,950244,1
2024-10-16,1,1426149,1
2024-10-23,1,949643,1
2024-10-30,1,972166,1
2024-11-06,1,948498,1
2024-11-13,1,1612627,1
2024-11-20,1,961796,1
2024-11-27,1,970245,1
2024-12-04,1,968017,1
2024-12-11,1,951583,1
2024-12-18,1,1402133,1
2024-12-25,1,1314702,1
2024-12-30,0,0,0
2024-12-31,0,0,0
2025-01-01,1,1078655,1
2025-01-08,1,955759,1
2025-01-15,1,1412590,1
2025-01-22,1,1047762,1
2025-01-28,0,0,0
2025-01-29,0,0,0
2025-01-30,0,0,0
2025-01-31,1,977679,1
2025-02-05,1,1190334,1
2025-02-12,1,954133,1
2025-02-19,1,1407600,1
2025-02-26,1,967349,1
2025-03-05,1,972533,1
2025-03-12,1,955484,1
2025-03-19,1,1562837,1
2025-03-26,1,971556,1
2025-04-02,1,1045836,1
2025-04-09,1,959139,1
2025-04-16,1,1416620,1
2025-04-23,1,265182,1
2025-04-30,1,1131344,0
2025-05-07,1,958513,1
2025-05-14,1,956167,1
2025-05-21,1,1402029,1
2025-05-28,1,1434219,1
2025-06-04,1,1174476,1
2025-06-11,1,1166058,1
2025-06-18,1,846914,1
2025-06-25,1,1175971,1
2025-07-02,1,433945,1
2025-07-09,1,589963,1
2025-07-16,1,845961,1
2025-07-23,1,419140,1
2025-07-30,1,497190,1
2025-08-06,1,1392553,0
2025-08-13,1,416604,1
2025-08-20,1,849052,1
2025-08-27,1,428871,1
2025-09-03,1,433209,1
2025-09-10,1,420843,1
2025-09-17,1,849539,1
2025-09-24,1,600230,1
2025-10-01,1,1903889,1
2025-10-06,0,0,0
2025-10-07,0,0,0
2025-10-08,0,0,0
2025-10-09,0,0,0
2025-10-10,0,0,0
2025-10-15,1,435454,1
2025-10-22,1,424197,1
2025-10-29,1,423046,1
2025-11-05,1,423580,1
2025-11-12,1,424297,1
2025-11-19,1,859663,1
2025-11-26,1,432578,1
2025-12-03,1,424883,1
2025-12-10,1,598439,1
2025-12-17,1,858284,1
2025-12-24,1,499262,1
2025-12-31,1,493458,1
2026-01-01,0,0,0
2026-01-02,0,0,0
2026-01-07,1,437392,1
2026-01-14,1,415281,1
2026-01-21,1,853854,1
2026-01-28,1,425712,1
2026-02-04,1,505069,1
2026-02-11,1,466248,1
2026-02-18,0,0,0
2026-02-19,1,859874,1
2026-02-25,1,1543812,0
2026-03-04,1,434572,1
2026-03-11,1,423921,1
2026-03-18,1,860742,1
2026-03-25,1,435394,1
2026-04-01,1,508222,1
2026-04-08,1,10316641,1
2026-04-15,1,863479,1
2026-04-22,1,428991,1
2026-04-29,1,608769,1
2026-05-06,1,445977,1
2026-05-13,1,436211,1
2026-05-20,1,866776,1
2026-05-27,1,452853,1
2026-06-03,1,2761476,0
2026-06-10,1,437173,1
2026-06-17,1,869688,1
2026-06-24,1,462802,1
2026-07-01,1,1558838,0
2026-07-08,1,440932,1
2026-07-15,1,871573,1
2026-07-22,1,436672,1
